date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:24:16	827907/827907	---M--	200	added ('OK')	image/png	etag:%22ca203-564a7f6b61f40%22	https://f.vimeocdn.com/images_v6/marketing/live/live_background_blue.png	C:/My%20Web%20Sites/Demo/f.vimeocdn.com/images_v6/marketing/live/live_background_blue.png	(from https://vimeo.com/live)
10:24:18	0/-1	---M--	302	error ('')			https://vimeo.com/plus?v=footer	C:/My%20Web%20Sites/Demo/vimeo.com/plus.fa0b6f.delayed	(from https://vimeo.com/live)
10:24:23	60593/60593	---M--	200	added ('OK')	image/png	etag:%22ecb1-568097e638900%22	https://f.vimeocdn.com/images_v6//marketing/live/partner_obs.png	C:/My%20Web%20Sites/Demo/f.vimeocdn.com/images_v6/marketing/live/partner_obs.png	(from https://vimeo.com/live)
10:24:28	456665/456665	---M-Z	200	added ('OK')	text/javascript	etag:%22a448d110a8179b26a2778df4c9dab0ba%22	http://storage.googleapis.com/code.snapengage.com/js/88e153e2-0b47-4e29-9cda-aef4842f02f5.js	C:/My%20Web%20Sites/Demo/storage.googleapis.com/code.snapengage.com/js/88e153e2-0b47-4e29-9cda-aef4842f02f5.js	(from https://vimeo.com/live)
10:24:28	944757/944757	---M--	200	added ('OK')	image/png	etag:%22e6a75-5638dbe4fe980%22	https://f.vimeocdn.com/images_v6/marketing/live/live_community.png	C:/My%20Web%20Sites/Demo/f.vimeocdn.com/images_v6/marketing/live/live_community.png	(from https://vimeo.com/live)
10:24:28	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Tue,%2008%20May%202018%2003:24:17%20GMT	https://vimeo.com/pro?v=footer	C:/My%20Web%20Sites/Demo/vimeo.com/pro0b6f	(from https://vimeo.com/live)
10:24:29	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Tue,%2008%20May%202018%2003:24:28%20GMT	https://vimeo.com/vip	C:/My%20Web%20Sites/Demo/vimeo.com/vip	(from https://vimeo.com/live)
10:24:29	8494/8494	---M-Z	200	added ('OK')	text/javascript	etag:%22212e-55df5d2e2c180%22	https://f.vimeocdn.com/js_opt/live_landing_combined.min.js?4c2b7076	C:/My%20Web%20Sites/Demo/f.vimeocdn.com/js_opt/live_landing_combined.min3c3a.js	(from https://vimeo.com/live)
10:24:29	774812/774812	---M-Z	200	added ('OK')	text/javascript	etag:%22bd29c-56b9ee5aedb80%22	https://f.vimeocdn.com/js_opt/create_live_combined.min.js?b5ef4abb	C:/My%20Web%20Sites/Demo/f.vimeocdn.com/js_opt/create_live_combined.mincec2.js	(from https://vimeo.com/live)
10:24:30	69058/69058	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2003:24:28%20GMT	https://vimeo.com/es/features	C:/My%20Web%20Sites/Demo/vimeo.com/es/features.html	(from https://vimeo.com/features)
10:24:30	68400/68400	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2003:24:29%20GMT	https://vimeo.com/de/features	C:/My%20Web%20Sites/Demo/vimeo.com/de/features.html	(from https://vimeo.com/features)
10:24:30	69271/69271	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2003:24:29%20GMT	https://vimeo.com/fr/features	C:/My%20Web%20Sites/Demo/vimeo.com/fr/features.html	(from https://vimeo.com/features)
10:24:31	71390/71390	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2003:24:30%20GMT	https://vimeo.com/jp/features	C:/My%20Web%20Sites/Demo/vimeo.com/jp/features.html	(from https://vimeo.com/features)
10:24:31	68049/68049	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2003:24:30%20GMT	https://vimeo.com/pt-br/features	C:/My%20Web%20Sites/Demo/vimeo.com/pt-br/features.html	(from https://vimeo.com/features)
10:24:31	69871/69871	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2003:24:30%20GMT	https://vimeo.com/ko/features	C:/My%20Web%20Sites/Demo/vimeo.com/ko/features.html	(from https://vimeo.com/features)
